2022-12-18 14:19:42,440 INFO    MainThread:7814 [wandb_setup.py:_flush():68] Configure stats pid to 7814
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_setup.py:_flush():68] Loading settings from /h/angelo/.config/wandb/settings
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_setup.py:_flush():68] Loading settings from /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/settings
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'team-single-cell', 'project': 'gex_atac_sweep', 'sweep_id': 'j1snhit4', 'root_dir': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts', 'run_id': 'y3v7j2t4', 'sweep_param_path': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/sweep-j1snhit4/config-y3v7j2t4.yaml'}
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiments/scripts/gex_atac_sweep.py', 'program': 'gex_atac_sweep.py'}
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:_log_setup():476] Logging user logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_141942-y3v7j2t4/logs/debug.log
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:_log_setup():477] Logging internal logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_141942-y3v7j2t4/logs/debug-internal.log
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:init():516] calling init triggers
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:init():520] wandb.init called with sweep_config: {'atac_dim': 5000, 'atac_weight': 9.775411791504958, 'epochs': 40, 'gex_dim': 1000, 'gex_weight': 82.37093074589274, 'init': 'xavier', 'latent_dim': 64, 'lr': 0.0001, 'model': [[1600, 800, 400, 100], [40, 60, 100, 150], [1800, 800, 400, 100], [40, 60, 120, 200]], 'weight_decay': 0.05329724702359593}
config: {'gex_dim': 2500, 'atac_dim': 7000, 'latent_dim': 20, 'model': [[1000, 800, 600, 400, 200], [10, 30, 50, 100, 160], [1200, 900, 600, 400, 150], [15, 40, 60, 100, 180]], 'init': 'he', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20, 'gex_weight': 5, 'atac_weight': 5}
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:init():569] starting backend
2022-12-18 14:19:42,441 INFO    MainThread:7814 [wandb_init.py:init():573] setting up manager
2022-12-18 14:19:42,447 INFO    MainThread:7814 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-18 14:19:42,457 INFO    MainThread:7814 [wandb_init.py:init():580] backend started and connected
2022-12-18 14:19:42,465 INFO    MainThread:7814 [wandb_run.py:_config_callback():1163] config_cb None None {'atac_dim': 5000, 'atac_weight': 9.775411791504958, 'epochs': 40, 'gex_dim': 1000, 'gex_weight': 82.37093074589274, 'init': 'xavier', 'latent_dim': 64, 'lr': 0.0001, 'model': [[1600, 800, 400, 100], [40, 60, 100, 150], [1800, 800, 400, 100], [40, 60, 120, 200]], 'weight_decay': 0.05329724702359593}
2022-12-18 14:19:42,468 INFO    MainThread:7814 [wandb_init.py:init():658] updated telemetry
2022-12-18 14:19:42,490 INFO    MainThread:7814 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-18 14:19:42,653 INFO    MainThread:7814 [wandb_run.py:_on_init():2006] communicating current version
2022-12-18 14:19:42,683 INFO    MainThread:7814 [wandb_run.py:_on_init():2010] got version response 
2022-12-18 14:19:42,683 INFO    MainThread:7814 [wandb_init.py:init():728] starting run threads in backend
2022-12-18 14:19:47,603 INFO    MainThread:7814 [wandb_run.py:_console_start():1986] atexit reg
2022-12-18 14:19:47,603 INFO    MainThread:7814 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-18 14:19:47,603 INFO    MainThread:7814 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-18 14:19:47,603 INFO    MainThread:7814 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-18 14:19:47,609 INFO    MainThread:7814 [wandb_init.py:init():765] run started, returning control to user process
2022-12-18 14:31:56,011 WARNING MsgRouterThr:7814 [router.py:message_loop():77] message_loop has been closed
